id,name,วัสดุ,วัสดุที่ใช้คำนวนค่าแรง,markup,กว้าง,ยาว,หนา,มูลค่าต้นทุน,ราคาขาย,ความเร็วตัดงาน,ความเร็วระหว่างจุด,เวลาเจาะงาน,gas,pressure,nozzle diameter,corner valid,corner length,corner speed,corner cooling time,corner beam on time,evade,start time valid,start time length,start time speed,start cooling time,start beam on time,salary,man count,man work hour,factory rate,machine cost,machine count,machine work hour,consumable part MTN cost,laser gas cost,laser gas power,electric unit cost,power,rate of operation
57,SUS3042B-1.5x3.0T5.0,แผ่นสแตนเลส SUS 304 2B,SUS-5.0mm.,1.4,1500,3000,5,21600,24000,1400,48000,0.5,N2H,11,2.5,1,1,300,0,0.3,30,1,3,200,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
58,SUS304N1-1.2x2.4T6.0,แผ่นสแตนเลส SUS 304 No.1,SUS-6.0mm.,1.4,1200,2400,6,9000,10000,1000,48000,0.5,N2H,12,2.5,1,1,300,0,0.3,30,1,3,200,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
59,SUS3042B-1.2x2.4T6.0,แผ่นสแตนเลส SUS 304 2B,SUS-6.0mm.,1.4,1200,2400,6,15300,17000,1000,48000,0.5,N2H,12,2.5,1,1,300,0,0.3,30,1,3,200,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
60,SUS304N1-1.2x2.4T8.0,แผ่นสแตนเลส SUS 304 No.1,SUS-8.0mm.,1.4,1200,2400,8,12800,14223,550,48000,0.5,N2H,14,3,1,1.5,150,0,0.3,30,1,8,150,0,1,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
61,SUS304N1-1.2x2.4T9.0,แผ่นสแตนเลส SUS 304 No.1,SUS-10.0mm.,1.8,1200,2400,9,14600,16223,450,48000,0.5,N2H,14,3,1,1.5,150,0,0.3,30,1,8,150,0,1,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
62,SUS304N1-1.2x2.4T10.0,แผ่นสแตนเลส SUS 304 No.1,SUS-10.0mm.,1.8,1200,2400,10,16600,18445,450,48000,0.5,N2H,14,3,1,1.5,150,0,0.3,30,1,8,150,0,1,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
63,SUS304N1-1.2x2.4T12.0,แผ่นสแตนเลส SUS 304 No.1,SUS-10.0mm.,1.8,1200,2400,12,19800,22000,450,48000,0.5,N2H,14,3,1,1.5,150,0,0.3,30,1,8,150,0,1,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
64,SUS304MR-1.2x2.4T0.5,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-0.5mm.,1.4,1200,2400,0.5,1990,2212,10000,48000,0.1,N2H,8,1.7,0,3,300,0,0,30,0,2,300,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
65,SUS304MR-1.2x2.4T0.7,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-0.8mm.,1.4,1200,2400,0.7,2300,2556,8000,48000,0.1,N2H,8,1.7,0,3,300,0,0,30,0,2,300,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
66,SUS304MR-1.2x2.4T0.8,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-0.8mm.,1.4,1200,2400,0.8,2600,2889,8000,48000,0.1,N2H,8,1.7,0,3,300,0,0,30,0,2,300,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
67,SUS304MR-1.2x2.4T1.0,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-1.0mm.,1.4,1200,2400,1,3000,3334,7500,48000,0.1,N2H,8,1.7,0,3,300,0,0,30,0,2,300,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
68,SUS304MR-1.5x3.0T1.0,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-1.0mm.,1.4,1500,3000,1,5000,5556,7500,48000,0.1,N2H,8,1.7,0,3,300,0,0,30,0,2,300,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
69,SUS304MR-1.2x2.4T1.2,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-1.5mm.,1.4,1200,2400,1.2,2800,3112,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
70,SUS304MR-1.2x3.0T1.2,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-1.5mm.,1.4,1200,3000,1.2,4200,4667,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
71,SUS304MR-1.5x3.0T1.2,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-1.5mm.,1.4,1500,3000,1.2,4800,5334,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
72,SUS304MR-1.2x2.4T1.5,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-1.5mm.,1.4,1200,2400,1.5,3350,3723,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
73,SUS304MR-1.2x3.0T1.5,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-1.5mm.,1.4,1200,3000,1.5,4500,5000,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
74,SUS304MR-1.5x3.0T1.5,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-1.5mm.,1.4,1500,3000,1.5,6200,6889,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
75,SUS304MR-1.2x2.4T2.0,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-2.0mm.,1.4,1200,2400,2,4000,4445,3000,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
76,SUS304MR-1.2x3.0T2.0,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-2.0mm.,1.4,1200,3000,2,5200,5778,3000,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
77,SUS304MR-1.5x3.0T2.0,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-2.0mm.,1.4,1500,3000,2,6700,7445,3000,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
78,SUS304MR-1.2x2.4T3.0,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-3.0mm.,1.4,1200,2400,3,6100,6778,1700,48000,0.4,N2,7,2.5,0,3,300,0,0,30,1,3,500,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
79,SUS304MR-1.2x3.0T3.0,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-3.0mm.,1.4,1200,3000,3,8000,8889,1700,48000,0.4,N2,7,2.5,0,3,300,0,0,30,1,3,500,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
80,SUS304MR-1.5x3.0T4.0,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-4.0mm.,1.4,1500,3000,4,21700,24112,750,48000,0.4,N2,7,2.5,0,3,300,0,0,30,1,3,500,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
81,SUS304MR-1.2x2.4T5.0,แผ่นสแตนเลสมิลเลอร์ SUS 304,SUS-5.0mm.,1.4,1200,2400,5,15200,16889,1400,48000,0.5,N2H,11,2.5,1,1,300,0,0.3,30,1,3,200,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
82,SUS304HL-1.2x2.4T0.7,แผ่นสแตนเลส SUS 304 HL,SUS-0.8mm.,1.4,1200,2400,0.7,2400,2667,8000,48000,0.1,N2H,8,1.7,0,3,300,0,0,30,0,2,300,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
83,SUS304HL-1.2x2.4T0.8,แผ่นสแตนเลส SUS 304 HL,SUS-0.8mm.,1.4,1200,2400,0.8,2250,2500,8000,48000,0.1,N2H,8,1.7,0,3,300,0,0,30,0,2,300,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
84,SUS304HL-1.2x2.4T1.0,แผ่นสแตนเลส SUS 304 HL,SUS-1.0mm.,1.4,1200,2400,1,2000,2223,7500,48000,0.1,N2H,8,1.7,0,3,300,0,0,30,0,2,300,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
85,SUS304HL-1.2x2.4T1.2,แผ่นสแตนเลส SUS 304 HL,SUS-1.5mm.,1.4,1200,2400,1.2,2200,2445,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
86,SUS304HL-1.2x3.0T1.2,แผ่นสแตนเลส SUS 304 HL,SUS-1.5mm.,1.4,1200,3000,1.2,3000,3334,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
87,SUS304HL-1.5x3.0T1.2,แผ่นสแตนเลส SUS 304 HL,SUS-1.5mm.,1.4,1500,3000,1.2,4300,4778,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
88,SUS304HL-1.2x2.4T1.5,แผ่นสแตนเลส SUS 304 HL,SUS-1.5mm.,1.4,1200,2400,1.5,2650,2945,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
89,SUS304HL-1.2x3.0T1.5,แผ่นสแตนเลส SUS 304 HL,SUS-1.5mm.,1.4,1200,3000,1.5,3600,4000,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
90,SUS304HL-1.5x3.0T1.5,แผ่นสแตนเลส SUS 304 HL,SUS-1.5mm.,1.4,1500,3000,1.5,5400,6000,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
91,SUS304HL-1.2x2.4T2.0,แผ่นสแตนเลส SUS 304 HL,SUS-2.0mm.,1.4,1200,2400,2,3600,4000,3000,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
